Sample_Index,Zone_ID,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Is_Medoid
106,109,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
107,110,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
108,111,0.11881053015906975,0.0004893274952064204,0.0017970462680529046,0.878903096077671,0
109,112,0.3935908502172698,0.001153336220125822,0.006651679591857882,0.5986041339707465,0
110,113,0.12123919886618381,0.09586073631492158,0.681278561769664,0.10162150304923073,0
111,114,0.09326831700235322,0.5649693438069535,0.26048406979924793,0.08127826939144532,0
112,115,0.11373303214476893,0.000457680973222891,0.0018356055066114914,0.8839736813753967,0
113,116,0.550129572868053,0.004041226588363898,0.023954750480381284,0.42187445006320184,0
114,117,0.13062829888324093,0.000543703379960494,0.0021781940510040387,0.8666498036857946,0
115,118,0.11040754294841407,0.00044064979500703686,0.0017585330269673499,0.8873932742296116,0
116,119,0.12857118021825195,0.0004940790820530146,0.001958103182889882,0.8689766375168051,0
117,120,0.11801151608595185,0.0004842635638791667,0.0017791108552804864,0.8797251094948885,0
118,121,0.14820404994251243,0.00048024606260550616,0.0020622041697928753,0.8492534998250892,0
119,122,0.12172741573360418,0.00042925413369419017,0.0019982748432574183,0.8758450552894442,0
120,123,0.11602456047772504,0.00046740296694241086,0.0017283703909458836,0.8817796661643867,0
121,124,0.10882179619457448,0.0004429663502818071,0.0017902507736152395,0.8889449866815284,0
122,125,0.4263653119317461,0.04497767573436863,0.21441725446718385,0.3142397578667014,0
123,126,0.13545771032000567,0.0004680338401718769,0.0019934327454976305,0.8620808230943248,0
124,127,0.0,0.0,0.0,1.0,1
125,128,0.11633569840250907,0.00047855767718845777,0.0017579654301948305,0.8814277784901077,0
126,129,0.5924944059428764,0.013054464803523711,0.060550790319906,0.33390033893369375,0
127,130,0.568626404494358,0.008405141946074713,0.04140639034279091,0.3815620632167764,0
128,131,0.17295701781957562,0.0006031028847876495,0.002915652720187416,0.8235242265754492,0
129,133,0.23617657111586438,0.0008081091057554028,0.004513930962393848,0.7585013888159864,0
130,134,0.17554932174208124,0.0005575301940693229,0.002842053804288372,0.821051094259561,0
131,135,0.14238247791792796,0.000537801631660569,0.0021380748773272423,0.8549416455730843,0
132,136,0.11363571914751616,0.0004396051532281324,0.001682672228751449,0.8842420034705043,0
133,137,0.1805875907918504,0.11169521400144848,0.5765303134035803,0.1311868818031208,0
134,139,0.11439844662187976,0.00042860174650919655,0.0016987127250499624,0.8834742389065612,0
135,140,0.12751800070581115,0.33976514361399707,0.47728935651447285,0.055427499165718895,0
136,141,0.11359471110495448,0.45100183276335043,0.3864912537642545,0.04891220236744061,0
137,142,0.10547819637193799,0.5805730940507033,0.2682044331292693,0.04574427644808935,0
138,143,0.18835933317610284,0.12521269275010843,0.5156923901928265,0.17073558388096216,0
139,144,0.14332700797988085,0.2613821753395595,0.46376732195156944,0.13152349472899016,0
140,145,0.5958449162068065,0.007845689584287753,0.04161105926399094,0.35469833494491476,0
141,146,0.4521448432927896,0.0019803191042829754,0.013188077252026717,0.5326867603509008,0
